This file was created using the 201904 Bloomberg database.,,,,,,,,,,,
,,,,,,,,,,,
Missing data are indicated by -99.99.,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,Mkt-RF,SMB,HML,RMW,CMA,RF,Mkt-RF_log,SMB_log,HML_log,RMW_log,CMA_log
19900702,0.99,0.01,-0.53,0.41,-0.25,0.03,0.985131605,0.0099995,-0.531409482,0.40916179,-0.250313022
19900703,0.33,-0.09,-0.03,0.05,0.27,0.03,0.329456695,-0.090040524,-0.030004501,0.049987504,0.269636155
19900704,0.24,0.01,-0.14,-0.1,0.23,0.03,0.23971246,0.0099995,-0.140098092,-0.100050033,0.229735905
19900705,-0.64,0.2,0.06,-0.32,0.08,0.03,-0.64205678,0.199800266,0.059982007,-0.320513095,0.079968017
19900706,0.08,-0.24,0.14,0.02,0.13,0.03,0.079968017,-0.240288462,0.139902091,0.019998,0.129915573
19900709,0.49,0.01,-0.27,0.05,-0.18,0.03,0.488803407,0.0099995,-0.270365157,0.049987504,-0.180162195
19900710,0.01,0.31,-0.39,0.06,-0.2,0.03,0.0099995,0.309520491,-0.390762483,0.059982007,-0.200200267
19900711,-0.34,-0.43,-0.05,0.11,0.25,0.03,-0.340579313,-0.430927159,-0.050012504,0.109939544,0.24968802
19900712,0.61,-0.17,-0.02,0.21,-0.17,0.03,0.608147032,-0.170144664,-0.020002,0.209779808,-0.170144664
19900713,0.48,-0.53,0.03,0.22,0.7,0.03,0.478851673,-0.531409482,0.029995501,0.219758354,0.697561374
19900716,0.31,-0.26,-0.22,0.06,-0.11,0.03,0.309520491,-0.260338587,-0.220242356,0.059982007,-0.110060544
19900717,0.55,0.13,0.26,-0.19,-0.29,0.03,0.548493023,0.129915573,0.259662585,-0.190180729,-0.290421315
19900718,0.12,-0.08,-0.03,-0.28,0.02,0.03,0.119928058,-0.080032017,-0.030004501,-0.280392733,0.019998
19900719,-0.13,0.32,-0.19,-0.02,0.19,0.03,-0.130084573,0.31948909,-0.190180729,-0.020002,0.189819728
19900720,0.34,-0.08,0.11,-0.03,0.02,0.03,0.339423307,-0.080032017,0.109939544,-0.030004501,0.019998
19900723,-0.07,0.63,-0.01,-0.23,0.1,0.03,-0.070024511,0.628023796,-0.0100005,-0.230264906,0.099950033
19900724,-0.38,0.05,0.17,0.01,0.26,0.03,-0.380723834,0.049987504,0.169855664,0.0099995,0.259662585
19900725,0.15,-0.16,0.28,-0.01,0.17,0.03,0.149887612,-0.160128137,0.27960873,-0.0100005,0.169855664
19900726,-0.3,0.31,-0.13,0,-0.01,0.03,-0.300450902,0.309520491,-0.130084573,0,-0.0100005
19900727,0.21,0.44,-0.24,-0.11,-0.21,0.03,0.209779808,0.43903483,-0.240288462,-0.110060544,-0.210220809
19900730,-0.04,0.17,0.06,0.2,-0.13,0.03,-0.040008002,0.169855664,0.059982007,0.199800266,-0.130084573
19900731,1.38,-0.35,-0.11,0.04,0.25,0.03,1.370564706,-0.350613933,-0.110060544,0.039992002,0.24968802
19900801,-0.4,0,0.08,-0.08,-0.02,0.03,-0.40080214,0,0.079968017,-0.080032017,-0.020002
19900802,-1.38,0.38,0.11,0.08,0.79,0.03,-1.389610519,0.379279824,0.109939544,0.079968017,0.786895838
19900803,-1.23,0.65,-0.04,-0.2,0.09,0.03,-1.237627107,0.64789661,-0.040008002,-0.200200267,0.089959524
19900806,-2.85,1.37,-0.47,-0.47,0.3,0.03,-2.891401016,1.360700341,-0.471107973,-0.471107973,0.299550898
19900807,0.51,-1.21,0.28,0.26,-0.13,0.03,0.508703905,-1.217380093,0.27960873,0.259662585,-0.130084573
19900808,-1.63,0.62,-0.03,-0.15,-0.32,0.03,-1.643430646,0.618085908,-0.030004501,-0.150112613,-0.320513095
19900809,0.29,-0.74,-0.24,0.35,-0.11,0.03,0.289580311,-0.742751583,-0.240288462,0.349388925,-0.110060544
19900810,-0.06,0.04,0.14,-0.06,-0.04,0.03,-0.060018007,0.039992002,0.139902091,-0.060018007,-0.040008002
19900813,-0.84,0.5,-0.07,-0.49,-0.05,0.03,-0.843547882,0.498754151,-0.070024511,-0.491204436,-0.050012504
19900814,0.57,-0.41,0.13,-0.02,0.02,0.03,0.568381647,-0.410842804,0.129915573,-0.020002,0.019998
19900815,0.84,-0.44,-0.03,0.11,0.1,0.03,0.836491633,-0.440970849,-0.030004501,0.109939544,0.099950033
19900816,-0.17,0.21,0.23,-0.14,0.27,0.03,-0.170144664,0.209779808,0.229735905,-0.140098092,0.269636155
19900817,-1.57,0.97,0.15,-0.28,0.66,0.03,-1.582455035,0.965325703,0.149887612,-0.280392733,0.657831536
19900820,-2.17,0.37,0.31,-0.13,-0.22,0.03,-2.193890752,0.369317184,0.309520491,-0.130084573,-0.220242356
19900821,-2.56,0.92,0.59,-1.05,0.05,0.03,-2.593338203,0.915793778,0.588266316,-1.055551394,0.049987504
19900822,0.25,-0.91,0.26,0.25,-0.14,0.03,0.24968802,-0.914165792,0.259662585,0.24968802,-0.140098092
19900823,-1.39,0.45,-0.41,-0.06,-0.46,0.03,-1.399750964,0.448990527,-0.410842804,-0.060018007,-0.461061256
19900824,0.35,-1.22,0.25,0.11,-0.25,0.03,0.349388925,-1.227503088,0.24968802,0.109939544,-0.250313022
19900827,2.76,-1.47,0.43,0.59,0.65,0.03,2.722598625,-1.480911565,0.429078142,0.588266316,0.64789661
19900828,0.61,0.52,-0.93,-0.07,-0.28,0.03,0.608147032,0.518652669,-0.9343515,-0.070024511,-0.280392733
19900829,0.09,-0.34,-0.48,0.63,0.32,0.03,0.089959524,-0.340579313,-0.4811557,0.628023796,0.31948909
19900830,-0.09,-0.38,-0.25,0.24,0.22,0.03,-0.090040524,-0.380723834,-0.250313022,0.23971246,0.219758354
19900831,-1.15,0.31,-0.23,-0.11,0.41,0.03,-1.156663637,0.309520491,-0.230264906,-0.110060544,0.40916179
19900903,-1.38,0.09,0.15,-0.02,0.19,0.03,-1.389610519,0.089959524,0.149887612,-0.020002,0.189819728
19900904,-1.03,0.54,0.12,0.02,-0.03,0.03,-1.035341208,0.538547228,0.119928058,0.019998,-0.030004501
19900905,1.12,-0.25,-0.06,0,0.02,0.03,1.113774441,-0.250313022,-0.060018007,0,0.019998
19900906,-0.61,0.42,0.01,0.09,0.65,0.03,-0.611868101,0.419120462,0.0099995,0.089959524,0.64789661
19900907,-0.79,-0.19,-0.04,0.21,0.17,0.03,-0.793137033,-0.190180729,-0.040008002,0.209779808,0.169855664
19900910,0.07,-0.84,-0.06,0.26,0.38,0.03,0.069975511,-0.843547882,-0.060018007,0.259662585,0.379279824
19900911,-0.93,0.39,-0.02,-0.15,-0.37,0.03,-0.9343515,0.389241472,-0.020002,-0.150112613,-0.370686193
19900912,0.39,-0.17,0.26,-0.19,0.55,0.03,0.389241472,-0.170144664,0.259662585,-0.190180729,0.548493023
19900913,0.45,0.31,0,-0.02,0.09,0.03,0.448990527,0.309520491,0,-0.020002,0.089959524
19900914,-0.52,0.71,-0.03,-0.18,0.24,0.03,-0.521356705,0.707491367,-0.030004501,-0.180162195,0.23971246
19900917,-0.2,0.01,-0.04,-0.06,-0.3,0.03,-0.200200267,0.0099995,-0.040008002,-0.060018007,-0.300450902
19900918,-0.99,0.32,0.18,-0.23,0.51,0.03,-0.994933085,0.31948909,0.179838194,-0.230264906,0.508703905
19900919,-1.97,-0.08,-0.01,-0.12,0.01,0.03,-1.989663171,-0.080032017,-0.0100005,-0.120072058,0.0099995
19900920,-2.38,0.5,-0.41,0.17,0.57,0.03,-2.408779553,0.498754151,-0.410842804,0.169855664,0.568381647
19900921,-1.19,-0.67,0.23,0.26,0.4,0.03,-1.197137178,-0.672254576,0.229735905,0.259662585,0.399202127
19900924,-0.26,0.69,0.39,-0.4,-0.44,0.03,-0.260338587,0.687630394,0.389241472,-0.40080214,-0.440970849
19900925,-1.64,0.28,-0.1,-0.08,-0.58,0.03,-1.653596864,0.27960873,-0.100050033,-0.080032017,-0.581688532
19900926,-0.19,-0.36,-0.09,0.59,-0.12,0.03,-0.190180729,-0.360649559,-0.090040524,0.588266316,-0.120072058
19900927,0.33,-0.2,0.24,-0.1,-0.07,0.03,0.329456695,-0.200200267,0.23971246,-0.100050033,-0.070024511
19900928,-1.08,0.68,-0.1,0.03,0.13,0.03,-1.085874333,0.677698428,-0.100050033,0.029995501,0.129915573
19901001,2.66,-2.04,-0.22,0.6,0.19,0.03,2.625237114,-2.06109539,-0.220242356,0.598207168,0.189819728
19901002,1.83,-0.92,-0.25,0.13,-0.34,0.03,1.81345702,-0.924258137,-0.250313022,0.129915573,-0.340579313
19901003,0.88,-0.04,0,0.03,-0.25,0.03,0.876150567,-0.040008002,0,0.029995501,-0.250313022
19901004,0,0.52,0.03,-0.01,0.17,0.03,0,0.518652669,0.029995501,-0.0100005,0.169855664
19901005,0.94,-0.74,-0.24,0.03,-1.83,0.03,0.935609492,-0.742751583,-0.240288462,0.029995501,-1.846951628
19901008,2.97,-0.26,0.2,0.45,-0.78,0.03,2.926749768,-0.260338587,0.199800266,0.448990527,-0.783057912
19901009,-1.11,0.75,-0.04,-0.17,0.76,0.03,-1.116206471,0.747201484,-0.040008002,-0.170144664,0.75712655
19901010,-1.26,0.63,-0.02,-0.18,0.22,0.03,-1.268005316,0.628023796,-0.020002,-0.180162195,0.219758354
19901011,0.22,-0.47,-0.47,-0.8,0.6,0.03,0.219758354,-0.471107973,-0.471107973,-0.80321717,0.598207168
19901012,0.46,-0.17,0.35,0.99,-0.3,0.03,0.458945233,-0.170144664,0.349388925,0.985131605,-0.300450902
19901015,-0.25,-0.22,-0.17,0.27,0.15,0.03,-0.250313022,-0.220242356,-0.170144664,0.269636155,0.149887612
19901016,0.46,0.47,0.03,-0.29,-0.21,0.03,0.458945233,0.468898949,0.029995501,-0.290421315,-0.210220809
19901017,-0.54,0.25,0.1,-0.3,0.3,0.03,-0.54146327,0.24968802,0.099950033,-0.300450902,0.299550898
19901018,1.08,-0.5,-0.1,0.17,-0.35,0.03,1.074209653,-0.501254182,-0.100050033,0.169855664,-0.350613933
19901019,0.39,-0.7,-0.05,0.05,0.55,0.03,0.389241472,-0.702461494,-0.050012504,0.049987504,0.548493023
19901022,-0.34,-0.18,-0.02,-0.17,-0.2,0.03,-0.340579313,-0.180162195,-0.020002,-0.170144664,-0.200200267
19901023,1.21,-0.91,0.12,0.01,-0.29,0.03,1.202738021,-0.914165792,0.119928058,0.0099995,-0.290421315
19901024,0.34,0.5,0.21,-0.3,0.16,0.03,0.339423307,0.498754151,0.209779808,-0.300450902,0.159872136
19901025,-0.66,0.55,-0.07,-0.25,0.24,0.03,-0.662187631,0.548493023,-0.070024511,-0.250313022,0.23971246
19901026,-1.45,0.75,-0.34,0.18,0.23,0.03,-1.460615239,0.747201484,-0.340579313,0.179838194,0.229735905
19901029,-0.61,-0.01,0.1,0.15,-0.08,0.03,-0.611868101,-0.0100005,0.099950033,0.149887612,-0.080032017
19901030,-0.86,0.61,-0.16,0.09,0.07,0.03,-0.86371934,0.608147032,-0.160128137,0.089959524,0.069975511
19901031,0.02,-0.46,0.11,0.25,0.18,0.03,0.019998,-0.461061256,0.109939544,0.24968802,0.179838194
19901101,-0.27,0.36,0.07,-0.35,0.19,0.03,-0.270365157,0.359353551,0.069975511,-0.350613933,0.189819728
19901102,0.23,-0.14,0.02,0.04,-0.16,0.03,0.229735905,-0.140098092,0.019998,0.039992002,-0.160128137
19901105,0.98,-0.31,-0.2,0.09,0.29,0.03,0.975229144,-0.310481495,-0.200200267,0.089959524,0.289580311
19901106,0.06,-0.21,0.19,-0.28,-0.14,0.03,0.059982007,-0.210220809,0.189819728,-0.280392733,-0.140098092
19901107,-0.62,0.5,0.11,-0.14,0.04,0.03,-0.621929981,0.498754151,0.109939544,-0.140098092,0.039992002
19901108,-1.08,0.29,-0.03,-0.02,-0.27,0.03,-1.085874333,0.289580311,-0.030004501,-0.020002,-0.270365157
19901109,0.17,-0.42,0.12,-0.09,-0.04,0.03,0.169855664,-0.420884477,0.119928058,-0.090040524,-0.040008002
19901112,0.68,-0.74,-0.06,0.16,0.11,0.03,0.677698428,-0.742751583,-0.060018007,0.159872136,0.109939544
19901113,0.33,-0.3,0.05,-0.16,0.08,0.03,0.329456695,-0.300450902,0.049987504,-0.160128137,0.079968017
19901114,-0.48,0.3,-0.17,0.21,0.22,0.03,-0.4811557,0.299550898,-0.170144664,0.209779808,0.219758354
19901115,-0.1,-0.29,0.33,-0.17,-0.24,0.03,-0.100050033,-0.290421315,0.329456695,-0.170144664,-0.240288462
19901116,0.7,0,-0.05,-0.09,-0.41,0.03,0.697561374,0,-0.050012504,-0.090040524,-0.410842804
19901119,1.09,-0.88,-0.03,0.19,-0.18,0.03,1.084102318,-0.883894867,-0.030004501,0.189819728,-0.180162195
19901120,0.05,-0.34,0,0.09,0.01,0.03,0.049987504,-0.340579313,0,0.089959524,0.0099995
19901121,-0.12,-0.04,0.17,-0.08,-0.06,0.03,-0.120072058,-0.040008002,0.169855664,-0.080032017,-0.060018007
19901122,0.23,-0.48,-0.01,0.18,0.34,0.03,0.229735905,-0.4811557,-0.0100005,0.179838194,0.339423307
19901123,0.23,-0.4,0.18,0.02,-0.47,0.03,0.229735905,-0.40080214,0.179838194,0.019998,-0.471107973
19901126,-1.31,0.85,0.03,0.12,-0.25,0.03,-1.31865618,0.846407841,0.029995501,0.119928058,-0.250313022
19901127,0.4,-0.01,0.02,-0.15,-0.19,0.03,0.399202127,-0.0100005,0.019998,-0.150112613,-0.190180729
19901128,-0.74,0.08,-0.23,-0.06,0.28,0.03,-0.742751583,0.079968017,-0.230264906,-0.060018007,0.27960873
19901129,-1.12,-0.04,0.02,0.34,0.51,0.03,-1.126319228,-0.040008002,0.019998,0.339423307,0.508703905
19901130,0.31,-0.49,0.06,0.15,0.03,0.03,0.309520491,-0.491204436,0.059982007,0.149887612,0.029995501
19901203,0.09,-0.84,0.04,0.18,0.31,0.03,0.089959524,-0.843547882,0.039992002,0.179838194,0.309520491
19901204,0.24,0.37,-0.19,0.1,0.01,0.03,0.23971246,0.369317184,-0.190180729,0.099950033,0.0099995
19901205,0.47,-0.4,-0.09,0.01,0.06,0.03,0.468898949,-0.40080214,-0.090040524,0.0099995,0.059982007
19901206,1.97,-0.91,0.09,0.2,-0.18,0.03,1.950846639,-0.914165792,0.089959524,0.199800266,-0.180162195
19901207,1.07,0.15,0.11,-0.21,-0.04,0.03,1.06431601,0.149887612,0.109939544,-0.210220809,-0.040008002
19901210,0,0.28,-0.35,0.12,-0.08,0.03,0,0.27960873,-0.350613933,0.119928058,-0.080032017
19901211,-1.04,0.46,-0.29,0.49,-0.17,0.03,-1.04544579,0.458945233,-0.290421315,0.488803407,-0.170144664
19901212,0.11,0.23,0.43,-0.21,0.5,0.03,0.109939544,0.229735905,0.429078142,-0.210220809,0.498754151
19901213,0.33,-0.29,0.09,-0.17,-0.29,0.03,0.329456695,-0.290421315,0.089959524,-0.170144664,-0.290421315
19901214,-0.57,0.15,0.02,0,0.11,0.03,-0.5716307,0.149887612,0.019998,0,0.109939544
19901217,-1.51,0.79,-0.19,0.01,0.03,0.03,-1.521516581,0.786895838,-0.190180729,0.0099995,0.029995501
19901218,0.01,-0.19,0.23,-0.07,0.11,0.03,0.0099995,-0.190180729,0.229735905,-0.070024511,0.109939544
19901219,0.12,-0.22,0.12,-0.16,-0.03,0.03,0.119928058,-0.220242356,0.119928058,-0.160128137,-0.030004501
19901220,-3.05,0.82,0.02,0.04,0.22,0.03,-3.09748043,0.816656267,0.019998,0.039992002,0.219758354
19901221,-1.01,-0.12,0.15,0.51,-0.02,0.03,-1.015135106,-0.120072058,0.149887612,0.508703905,-0.020002
19901224,-1.11,0.07,0.22,-0.13,0.11,0.03,-1.116206471,0.069975511,0.219758354,-0.130084573,0.109939544
19901225,0.1,0.01,-0.15,0.05,0.02,0.03,0.099950033,0.0099995,-0.150112613,0.049987504,0.019998
19901226,0.36,-0.01,0.09,0.06,0.13,0.03,0.359353551,-0.0100005,0.089959524,0.059982007,0.129915573
19901227,0.16,-0.04,0.08,-0.17,-0.26,0.03,0.159872136,-0.040008002,0.079968017,-0.170144664,-0.260338587
19901228,1.73,0.35,-0.05,0.06,0.12,0.03,1.715205882,0.349388925,-0.050012504,0.059982007,0.119928058
19901231,0.06,0.33,-0.14,0.02,-0.23,0.03,0.059982007,0.329456695,-0.140098092,0.019998,-0.230264906
19910101,-0.01,-0.02,0.01,0.02,0.02,0.02,-0.0100005,-0.020002,0.0099995,0.019998,0.019998
19910102,-0.27,0.4,0.42,-0.2,-0.16,0.02,-0.270365157,0.399202127,0.419120462,-0.200200267,-0.160128137
19910103,-0.25,-0.39,-0.26,0.36,0.03,0.02,-0.250313022,-0.390762483,-0.260338587,0.359353551,0.029995501
19910104,-0.21,-0.5,0.02,0.15,-0.04,0.02,-0.210220809,-0.501254182,0.019998,0.149887612,-0.040008002
19910107,-2.76,0.73,-0.04,-0.02,-0.09,0.02,-2.798803654,0.727348397,-0.040008002,-0.020002,-0.090040524
19910108,-1.08,0.09,0,0.26,0.13,0.02,-1.085874333,0.089959524,0,0.259662585,0.129915573
19910109,1.65,-1.44,0.07,0.18,0.18,0.02,1.636535409,-1.45046862,0.069975511,0.179838194,0.179838194
19910110,-0.86,0.38,-0.05,-0.17,-0.51,0.02,-0.86371934,0.379279824,-0.050012504,-0.170144664,-0.511304939
19910111,-0.23,-0.18,-0.07,0.04,0.25,0.02,-0.230264906,-0.180162195,-0.070024511,0.039992002,0.24968802
19910114,-2.29,0.91,-0.14,0.05,0.01,0.02,-2.316627803,0.905884449,-0.140098092,0.049987504,0.0099995
19910115,-0.42,-0.29,-0.08,0.25,0.16,0.02,-0.420884477,-0.290421315,-0.080032017,0.24968802,0.159872136
19910116,-0.37,-0.01,0.07,-0.14,0.28,0.02,-0.370686193,-0.0100005,0.069975511,-0.140098092,0.27960873
19910117,5.46,-2.25,0.24,-0.11,0.02,0.02,5.316154811,-2.275698712,0.23971246,-0.110060544,0.019998
19910118,0.34,0.46,0.08,-0.14,-0.08,0.02,0.339423307,0.458945233,0.079968017,-0.140098092,-0.080032017
19910121,0.02,0.52,0.03,0.2,-0.28,0.02,0.019998,0.518652669,0.029995501,0.199800266,-0.280392733
19910122,-0.94,0.04,-0.07,-0.14,0.12,0.02,-0.944445883,0.039992002,-0.070024511,-0.140098092,0.119928058
19910123,0.12,0.15,-0.32,-0.11,-0.28,0.02,0.119928058,0.149887612,-0.320513095,-0.110060544,-0.280392733
19910124,0.83,-0.96,0.02,0.12,0.09,0.02,0.826574442,-0.964637705,0.019998,0.119928058,0.089959524
19910125,0.15,-0.27,0.03,0.16,0.12,0.02,0.149887612,-0.270365157,0.029995501,0.159872136,0.119928058
19910128,0.58,-0.3,0.1,-0.04,-0.4,0.02,0.578324476,-0.300450902,0.099950033,-0.040008002,-0.40080214
19910129,-0.06,-0.05,-0.2,0.17,0.26,0.02,-0.060018007,-0.050012504,-0.200200267,0.169855664,0.259662585
19910130,1.08,-0.84,0.16,-0.03,-0.4,0.02,1.074209653,-0.843547882,0.159872136,-0.030004501,-0.40080214
