This file was created by CMPT_ME_BEME_OP_INV_RETS_DAILY using the 201904 CRSP database.,,,,,,,,,,,
The 1-month TBill return is from Ibbotson and Associates, Inc.,,,,,,,,,,
,Mkt-RF_simple,SMB_simple,HML_simple,RMW_simple,CMA_simple,RF,Mkt-RF_log,SMB_log,HML_log,RMW_log,CMA_log
19630701,-0.67,0,-0.32,-0.01,0.15,0.012,-0.672254576,0,-0.320513095,-0.0100005,0.149887612
19630702,0.79,-0.27,0.27,-0.07,-0.19,0.012,0.786895838,-0.270365157,0.269636155,-0.070024511,-0.190180729
19630703,0.63,-0.17,-0.09,0.17,-0.33,0.012,0.628023796,-0.170144664,-0.090040524,0.169855664,-0.330545701
19630705,0.4,0.08,-0.28,0.08,-0.33,0.012,0.399202127,0.079968017,-0.280392733,0.079968017,-0.330545701
19630708,-0.63,0.04,-0.18,-0.29,0.13,0.012,-0.631992874,0.039992002,-0.180162195,-0.290421315,0.129915573
19630709,0.45,0,0.1,0.14,-0.04,0.012,0.448990527,0,0.099950033,0.139902091,-0.040008002
19630710,-0.18,0.21,0.01,0.06,-0.07,0.012,-0.180162195,0.209779808,0.0099995,0.059982007,-0.070024511
19630711,-0.16,0.14,-0.3,-0.06,0.05,0.012,-0.160128137,0.139902091,-0.300450902,-0.060018007,0.049987504
19630712,-0.12,0.02,-0.11,0.12,0.04,0.012,-0.120072058,0.019998,-0.110060544,0.119928058,0.039992002
19630715,-0.62,0.07,-0.03,0.17,-0.06,0.012,-0.621929981,0.069975511,-0.030004501,0.169855664,-0.060018007
19630716,-0.07,-0.08,0.14,-0.06,-0.07,0.012,-0.070024511,-0.080032017,0.139902091,-0.060018007,-0.070024511
19630717,-0.33,-0.07,0.15,0.04,0.1,0.012,-0.330545701,-0.070024511,0.149887612,0.039992002,0.099950033
19630718,-0.54,0.27,0.05,-0.03,0.32,0.012,-0.54146327,0.269636155,0.049987504,-0.030004501,0.31948909
19630719,-0.23,-0.06,-0.05,0.16,-0.31,0.012,-0.230264906,-0.060018007,-0.050012504,0.159872136,-0.310481495
19630722,-0.7,-0.11,-0.31,-0.01,-0.1,0.012,-0.702461494,-0.110060544,-0.310481495,-0.0100005,-0.100050033
19630723,0.01,-0.1,-0.2,0.04,-0.08,0.012,0.0099995,-0.100050033,-0.200200267,0.039992002,-0.080032017
19630724,0.46,-0.1,-0.01,-0.11,-0.31,0.012,0.458945233,-0.100050033,-0.0100005,-0.110060544,-0.310481495
19630725,-0.04,0.14,0.26,-0.16,0.18,0.012,-0.040008002,0.139902091,0.259662585,-0.160128137,0.179838194
19630726,0.35,-0.14,0.07,0.04,-0.08,0.012,0.349388925,-0.140098092,0.069975511,0.039992002,-0.080032017
19630729,0.11,-0.17,0.26,0.07,-0.11,0.012,0.109939544,-0.170144664,0.259662585,0.069975511,-0.110060544
19630730,0.84,-0.29,-0.27,0.53,-0.4,0.012,0.836491633,-0.290421315,-0.270365157,0.528600443,-0.40080214
19630731,-0.13,0.11,-0.01,-0.15,0.34,0.012,-0.130084573,0.109939544,-0.0100005,-0.150112613,0.339423307
19630801,-0.08,-0.12,-0.12,0.17,-0.02,0.011,-0.080032017,-0.120072058,-0.120072058,0.169855664,-0.020002
19630802,0.29,-0.14,0.15,-0.05,0.02,0.011,0.289580311,-0.140098092,0.149887612,-0.050012504,0.019998
19630805,0.57,-0.42,0.16,0.03,0.11,0.011,0.568381647,-0.420884477,0.159872136,0.029995501,0.109939544
19630806,0.6,-0.34,0.25,0.01,-0.03,0.011,0.598207168,-0.340579313,0.24968802,0.0099995,-0.030004501
19630807,-0.19,0.04,0.17,-0.19,0.14,0.011,-0.190180729,0.039992002,0.169855664,-0.190180729,0.139902091
19630808,0.14,-0.01,-0.25,0.29,-0.33,0.011,0.139902091,-0.0100005,-0.250313022,0.289580311,-0.330545701
19630809,0.6,-0.09,-0.06,0.22,-0.17,0.011,0.598207168,-0.090040524,-0.060018007,0.219758354,-0.170144664
19630812,0.24,0.2,0.41,-0.13,0.32,0.011,0.23971246,0.199800266,0.40916179,-0.130084573,0.31948909
19630813,0.27,-0.26,-0.03,0.05,-0.04,0.011,0.269636155,-0.260338587,-0.030004501,0.049987504,-0.040008002
19630814,0.3,-0.08,0.21,-0.19,0.05,0.011,0.299550898,-0.080032017,0.209779808,-0.190180729,0.049987504
19630815,0.43,-0.29,0.37,-0.19,0,0.011,0.429078142,-0.290421315,0.369317184,-0.190180729,0
19630816,0.15,0.07,0.1,0.04,-0.18,0.011,0.149887612,0.069975511,0.099950033,0.039992002,-0.180162195
19630819,-0.05,-0.01,-0.1,-0.06,-0.06,0.011,-0.050012504,-0.0100005,-0.100050033,-0.060018007,-0.060018007
19630820,-0.05,0.02,-0.25,0.02,0.09,0.011,-0.050012504,0.019998,-0.250313022,0.019998,0.089959524
19630821,-0.11,0.34,-0.12,-0.07,0.09,0.011,-0.110060544,0.339423307,-0.120072058,-0.070024511,0.089959524
19630822,0.39,0.07,0.09,-0.09,-0.31,0.011,0.389241472,0.069975511,0.089959524,-0.090040524,-0.310481495
19630823,0.34,0,0.1,0.06,-0.03,0.011,0.339423307,0,0.099950033,0.059982007,-0.030004501
19630826,0.18,-0.12,0.14,0.11,-0.2,0.011,0.179838194,-0.120072058,0.139902091,0.109939544,-0.200200267
19630827,-0.44,0.1,-0.05,-0.01,0.14,0.011,-0.440970849,0.099950033,-0.050012504,-0.0100005,0.139902091
19630828,0.77,0.08,0.44,0.12,0.21,0.011,0.76705063,0.079968017,0.43903483,0.119928058,0.209779808
19630829,0.18,0.11,0.02,0.1,0.11,0.011,0.179838194,0.109939544,0.019998,0.099950033,0.109939544
19630830,0.44,0.11,-0.09,0.13,-0.29,0.011,0.43903483,0.109939544,-0.090040524,0.129915573,-0.290421315
19630903,0.23,0.07,0.06,0.02,0.2,0.014,0.229735905,0.069975511,0.059982007,0.019998,0.199800266
19630904,-0.01,0.06,-0.06,-0.39,-0.05,0.014,-0.0100005,0.059982007,-0.060018007,-0.390762483,-0.050012504
19630905,0.47,-0.1,0.11,-0.09,0.03,0.014,0.468898949,-0.100050033,0.109939544,-0.090040524,0.029995501
19630906,-0.27,-0.17,-0.01,0.13,-0.04,0.014,-0.270365157,-0.170144664,-0.0100005,0.129915573,-0.040008002
19630909,-0.36,-0.25,-0.01,0.05,0.13,0.014,-0.360649559,-0.250313022,-0.0100005,0.049987504,0.129915573
19630910,0.52,-0.17,0.42,0.06,-0.24,0.014,0.518652669,-0.170144664,0.419120462,0.059982007,-0.240288462
19630911,0.24,-0.2,0.2,-0.07,0.32,0.014,0.23971246,-0.200200267,0.199800266,-0.070024511,0.31948909
19630912,-0.09,0.11,-0.11,-0.2,-0.13,0.014,-0.090040524,0.109939544,-0.110060544,-0.200200267,-0.130084573
19630913,0.02,0.35,-0.15,-0.31,0.12,0.014,0.019998,0.349388925,-0.150112613,-0.310481495,0.119928058
19630916,-0.16,0.15,0.19,-0.08,-0.38,0.014,-0.160128137,0.149887612,0.189819728,-0.080032017,-0.380723834
19630917,0.03,-0.2,0.17,0.05,0.08,0.014,0.029995501,-0.200200267,0.169855664,0.049987504,0.079968017
19630918,-0.43,0.12,-0.24,-0.15,-0.06,0.014,-0.430927159,0.119928058,-0.240288462,-0.150112613,-0.060018007
19630919,0.52,-0.39,0.17,0.15,-0.02,0.014,0.518652669,-0.390762483,0.169855664,0.149887612,-0.020002
19630920,0.04,-0.07,-0.01,0.09,-0.34,0.014,0.039992002,-0.070024511,-0.0100005,0.089959524,-0.340579313
19630923,-0.5,-0.09,-0.21,0.09,0.15,0.014,-0.501254182,-0.090040524,-0.210220809,0.089959524,0.149887612
19630924,0.35,-0.33,0.13,-0.07,0.07,0.014,0.349388925,-0.330545701,0.129915573,-0.070024511,0.069975511
19630925,-0.58,-0.25,-0.08,-0.41,0.15,0.014,-0.581688532,-0.250313022,-0.080032017,-0.410842804,0.149887612
19630926,-0.81,0.47,-0.35,-0.06,0.29,0.014,-0.813298323,0.468898949,-0.350613933,-0.060018007,0.289580311
19630927,-0.18,0.28,-0.22,0.2,-0.07,0.014,-0.180162195,0.27960873,-0.220242356,0.199800266,-0.070024511
19630930,-0.6,0.2,0.08,0.21,-0.06,0.014,-0.601807233,0.199800266,0.079968017,0.209779808,-0.060018007
19631001,0.65,-0.21,0.25,-0.05,-0.13,0.013,0.64789661,-0.210220809,0.24968802,-0.050012504,-0.130084573
19631002,0.1,-0.13,0,0.02,-0.12,0.013,0.099950033,-0.130084573,0,0.019998,-0.120072058
19631003,0.67,-0.29,0.85,-0.35,0.17,0.013,0.667765475,-0.290421315,0.846407841,-0.350613933,0.169855664
