This file was created using the 201904 Bloomberg database.,,,,,,,,,,,
,,,,,,,,,,,
Missing data are indicated by -99.99.,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,Mkt-RF,SMB,HML,RMW,CMA,RF,Mkt-RF_log,SMB_log,HML_log,RMW_log,CMA_log
19900702,0.69,-0.07,-0.34,0.24,-0.01,0.03,0.687630394,-0.070024511,-0.340579313,0.23971246,-0.0100005
19900703,0.18,0.07,-0.16,0.07,0.03,0.03,0.179838194,0.069975511,-0.160128137,0.069975511,0.029995501
19900704,0.62,-0.19,-0.16,-0.05,0.02,0.03,0.618085908,-0.190180729,-0.160128137,-0.050012504,0.019998
19900705,-0.74,0.3,0.15,-0.13,0.04,0.03,-0.742751583,0.299550898,0.149887612,-0.130084573,0.039992002
19900706,0.2,-0.15,0.05,0.18,-0.03,0.03,0.199800266,-0.150112613,0.049987504,0.179838194,-0.030004501
19900709,0.23,0.18,0,0.04,-0.26,0.03,0.229735905,0.179838194,0,0.039992002,-0.260338587
19900710,0.14,0.14,-0.25,0.06,-0.11,0.03,0.139902091,0.139902091,-0.250313022,0.059982007,-0.110060544
19900711,0.33,-0.53,-0.23,0.11,0.1,0.03,0.329456695,-0.531409482,-0.230264906,0.109939544,0.099950033
19900712,0.57,-0.11,-0.23,-0.11,-0.04,0.03,0.568381647,-0.110060544,-0.230264906,-0.110060544,-0.040008002
19900713,0.76,-0.51,-0.21,0.13,0.15,0.03,0.75712655,-0.511304939,-0.210220809,0.129915573,0.149887612
19900716,0.51,-0.38,-0.03,0,-0.21,0.03,0.508703905,-0.380723834,-0.030004501,0,-0.210220809
19900717,0,0.09,0.12,-0.09,0.04,0.03,0,0.089959524,0.119928058,-0.090040524,0.039992002
19900718,-0.19,0.04,0.02,-0.33,0.2,0.03,-0.190180729,0.039992002,0.019998,-0.330545701,0.199800266
19900719,-0.27,0.07,-0.2,0.07,0.17,0.03,-0.270365157,0.069975511,-0.200200267,0.069975511,0.169855664
19900720,-0.83,0.75,0.22,0.02,0.2,0.03,-0.833463679,0.747201484,0.219758354,0.019998,0.199800266
19900723,-1.01,0.21,0.4,-0.13,0.32,0.03,-1.015135106,0.209779808,0.399202127,-0.130084573,0.31948909
19900724,-0.49,0.24,-0.12,-0.13,0.37,0.03,-0.491204436,0.23971246,-0.120072058,-0.130084573,0.369317184
19900725,0.07,0.13,0.17,-0.05,-0.16,0.03,0.069975511,0.129915573,0.169855664,-0.050012504,-0.160128137
19900726,-0.67,0.61,0.11,-0.05,-0.16,0.03,-0.672254576,0.608147032,0.109939544,-0.050012504,-0.160128137
19900727,-0.7,0.64,0.46,0.08,0.22,0.03,-0.702461494,0.637960696,0.458945233,0.079968017,0.219758354
