This file was created using the 201904 Bloomberg database.,,,,,,,,,,,
,,,,,,,,,,,
Missing data are indicated by -99.99.,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,Mkt-RF,SMB,HML,RMW,CMA,RF,Mkt-RF_log,SMB_log,HML_log,RMW_log,CMA_log
19900702,0.85,0.33,-0.06,0.05,0.18,0.03,0.846407841,0.329456695,-0.060018007,0.049987504,0.179838194
19900703,0.07,0.66,0.3,-0.26,0.27,0.03,0.069975511,0.657831536,0.299550898,-0.260338587,0.269636155
19900704,1.45,0.5,0.26,-0.06,-0.1,0.03,1.439588028,0.498754151,0.259662585,-0.060018007,-0.100050033
19900705,-0.64,0.53,0.38,0.4,0.13,0.03,-0.64205678,0.528600443,0.379279824,0.399202127,0.129915573
19900706,-0.02,0.52,0.31,0.18,-0.07,0.03,-0.020002,0.518652669,0.309520491,0.179838194,-0.070024511
19900709,-0.03,0.67,0.44,0.18,-0.35,0.03,-0.030004501,0.667765475,0.43903483,0.179838194,-0.350613933
19900710,0.92,0.42,-0.17,-0.02,0.08,0.03,0.915793778,0.419120462,-0.170144664,-0.020002,0.079968017
19900711,0.21,-0.43,0.01,0,0.19,0.03,0.209779808,-0.430927159,0.0099995,0,0.189819728
19900712,0.15,0.39,-0.05,-0.33,-0.36,0.03,0.149887612,0.389241472,-0.050012504,-0.330545701,-0.360649559
19900713,1.35,-0.13,-0.2,0.14,0.18,0.03,1.340968691,-0.130084573,-0.200200267,0.139902091,0.179838194
19900716,0.77,-0.58,0.66,-0.09,-0.37,0.03,0.76705063,-0.581688532,0.657831536,-0.090040524,-0.370686193
19900717,-0.07,0.19,-0.39,0.14,-0.15,0.03,-0.070024511,0.189819728,-0.390762483,0.139902091,-0.150112613
19900718,0.25,0.93,-0.12,-0.51,0.25,0.03,0.24968802,0.925702126,-0.120072058,-0.511304939,0.24968802
19900719,-0.72,0.11,-0.39,-0.03,-0.05,0.03,-0.722604509,0.109939544,-0.390762483,-0.030004501,-0.050012504
19900720,-1.75,0.48,0.36,0.1,0.01,0.03,-1.765493524,0.478851673,0.359353551,0.099950033,0.0099995
19900723,-1.05,0.12,0.43,0,0.07,0.03,-1.055551394,0.119928058,0.429078142,0,0.069975511
