Unnamed: 0,Mkt-RF,SMB,HML,RMW,CMA,RF,Mkt-RF_log_global,SMB_log_global,HML_log_global,RMW_log_global,CMA_log_global,AUDUSD=X
2006-05-16,-0.09,-0.38,0.19,0.26,-0.08,0.02,-0.090040524,-0.380723834,0.189819728,0.259662585,-0.080032017,-1.0074893
2006-05-17,-2.04,0.58,-0.06,-0.12,0.26,0.02,-2.06109539,0.578324476,-0.060018007,-0.120072058,0.259662585,0.6017462
2006-05-18,-0.54,-0.49,-0.15,0.21,0.29,0.02,-0.54146327,-0.491204436,-0.150112613,0.209779808,0.289580311,-0.897484
2006-05-22,-1.27,-0.74,0.13,0.12,0.47,0.02,-1.278133436,-0.742751583,0.129915573,0.119928058,0.468898949,-0.8219213
2006-05-23,0.11,-0.15,0.03,0.29,-0.44,0.02,0.109939544,-0.150112613,0.029995501,0.289580311,-0.440970849,0.2857661
2006-05-24,-0.5,-0.13,-0.21,-0.2,0,0.02,-0.501254182,-0.130084573,-0.210220809,-0.200200267,0,1.0295329
2006-05-25,1.11,0.06,0.02,0.14,-0.15,0.02,1.103884712,0.059982007,0.019998,0.139902091,-0.150112613,-0.3721519
2006-05-29,0.14,0.21,0.07,0.02,0,0.02,0.139902091,0.209779808,0.069975511,0.019998,0,0.4863579
2006-05-30,-0.55,-0.44,-0.77,0.9,0.24,0.02,-0.551518069,-0.440970849,-0.772979806,0.895974137,0.23971246,-1.1889082
2006-05-31,-0.42,0.26,1.1,-0.83,-0.05,0.02,-0.420884477,0.259662585,1.093994004,-0.833463679,-0.050012504,-0.6527938
2006-06-01,0.67,-0.44,0.19,-0.25,0.16,0.02,0.667765475,-0.440970849,0.189819728,-0.250313022,0.159872136,0.4272045
2006-06-05,-1.29,0.11,-0.13,0.13,0.08,0.02,-1.298392756,0.109939544,-0.130084573,0.129915573,0.079968017,-1.2984228
2006-06-06,-1.49,-0.45,-0.08,0.22,0.2,0.02,-1.501212012,-0.451015548,-0.080032017,0.219758354,0.199800266,0.1335429
2006-06-07,-0.61,-0.35,-0.09,-0.25,0.04,0.02,-0.611868101,-0.350613933,-0.090040524,-0.250313022,0.039992002,0.029694
2006-06-08,-1.9,-0.74,-0.16,-0.05,-0.06,0.02,-1.918281942,-0.742751583,-0.160128137,-0.050012504,-0.060018007,1.0601172
2006-06-12,-1.06,0.06,0.06,0.37,0.09,0.02,-1.065658019,0.059982007,0.059982007,0.369317184,0.089959524,-1.7336168
2006-06-13,-2.21,-0.65,-0.24,-0.01,0.21,0.02,-2.234786366,-0.652121699,-0.240288462,-0.0100005,0.209779808,0.0221303
2006-06-14,0.52,0.03,-0.2,0.12,-0.01,0.02,0.518652669,0.029995501,-0.200200267,0.119928058,-0.0100005,0.6513693
2006-06-15,2.29,0.59,0.02,-0.29,-0.41,0.02,2.264173048,0.588266316,0.019998,-0.290421315,-0.410842804,-0.4297788
2006-06-19,-0.6,-0.1,0.08,-0.18,0.13,0.02,-0.601807233,-0.100050033,0.079968017,-0.180162195,0.129915573,-0.2437208
2006-06-20,-0.02,-0.32,0.17,0.05,-0.07,0.02,-0.020002,-0.320513095,0.169855664,0.049987504,-0.070024511,0.1328618
2006-06-21,0.81,-0.14,-0.13,-0.07,-0.13,0.02,0.806737108,-0.140098092,-0.130084573,-0.070024511,-0.130084573,-0.6772279
