Unnamed: 0,Mkt-RF,SMB,HML,RMW,CMA,RF,Mkt-RF_log,SMB_log,HML_log,RMW_log,CMA_log,CADUSD=X
2003-09-16,1.06,-0.42,0.22,-0.62,0.15,0,1.054421388,-0.420884477,0.219758354,-0.621929981,0.149887612,73.1689453
2003-09-17,0.43,0.3,0.03,0.03,0.13,0,0.429078142,0.299550898,0.029995501,0.029995501,0.129915573,73.4484017
2003-09-18,0.89,-0.43,0.19,-0.2,0.2,0,0.886062843,-0.430927159,0.189819728,-0.200200267,0.199800266,74.2280245
2003-09-22,-1.03,0.87,0.01,0.36,-0.28,0,-1.035341208,0.866237308,0.0099995,0.359353551,-0.280392733,73.7952888
2003-09-23,0.19,0.12,-0.07,-0.36,-0.17,0,0.189819728,0.119928058,-0.070024511,-0.360649559,-0.170144664,74.068588
2003-09-24,-0.66,0.33,0.06,0.77,-0.27,0,-0.662187631,0.329456695,0.059982007,0.76705063,-0.270365157,74.1015196
2003-09-25,-1,-0.61,-0.11,0.61,-0.38,0,-1.005033585,-0.611868101,-0.110060544,0.608147032,-0.380723834,73.9207566
2003-09-29,0.7,0.23,-0.08,-0.14,0,0,0.697561374,0.229735905,-0.080032017,-0.140098092,0,74.0630984
2003-09-30,-0.74,0.63,-0.02,0.35,-0.29,0,-0.742751583,0.628023796,-0.020002,0.349388925,-0.290421315,74.3439138
2003-10-01,1.88,-0.66,0.29,-0.31,-0.14,0,1.862546412,-0.662187631,0.289580311,-0.310481495,-0.140098092,74.6157348
2003-10-02,0.63,0.21,0.11,-0.34,0.09,0,0.628023796,0.209779808,0.109939544,-0.340579313,0.089959524,74.4546235
2003-10-06,0.58,0.42,0.14,-0.19,0.06,0,0.578324476,0.419120462,0.139902091,-0.190180729,0.059982007,75.1201928
2003-10-07,0.43,0.22,-0.16,0,-0.02,0,0.429078142,0.219758354,-0.160128137,0,-0.020002,75.0581741
2003-10-08,-0.27,0.23,0.13,0.01,0.23,0,-0.270365157,0.229735905,0.129915573,0.0099995,0.229735905,74.7216642
2003-10-09,0.69,-0.09,0.22,-0.21,0.15,0,0.687630394,-0.090040524,0.219758354,-0.210220809,0.149887612,75.6086469
2003-10-13,0.58,0,0.11,-0.31,0.15,0,0.578324476,0,0.109939544,-0.310481495,0.149887612,75.5743682
2003-10-14,0.4,0.32,-0.04,-0.19,-0.09,0,0.399202127,0.31948909,-0.040008002,-0.190180729,-0.090040524,75.3238916
2003-10-15,-0.26,-0.08,0.15,0.1,0.21,0,-0.260338587,-0.080032017,0.149887612,0.099950033,0.209779808,75.8437574
2003-10-16,0.12,0.19,0.13,-0.16,0.04,0,0.119928058,0.189819728,0.129915573,-0.160128137,0.039992002,76.1324704
2003-10-20,0.1,-0.21,0.06,0.09,-0.06,0,0.099950033,-0.210220809,0.059982007,0.089959524,-0.060018007,75.9013295
2003-10-21,0.29,0.16,0.16,-0.42,0.06,0,0.289580311,0.159872136,0.159872136,-0.420884477,0.059982007,76.7224133
2003-10-22,-1.04,0.33,-0.07,0.56,-0.2,0,-1.04544579,0.329456695,-0.070024511,0.558437829,-0.200200267,76.5931368
2003-10-23,-0.99,-0.83,-0.29,0.67,-0.4,0,-0.994933085,-0.833463679,-0.290421315,0.667765475,-0.40080214,76.5755415
2003-10-27,0.55,0.37,0.36,-0.39,0.27,0,0.548493023,0.369317184,0.359353551,-0.390762483,0.269636155,76.3417006
2003-10-28,1.13,-0.14,0.21,-0.75,0.3,0,1.123663193,-0.140098092,0.209779808,-0.752826642,0.299550898,76.2253225
2003-10-29,0.34,0.37,0.21,-0.28,0.2,0,0.339423307,0.369317184,0.209779808,-0.280392733,0.199800266,76.0571957
2003-10-30,-0.03,-0.15,0.34,-0.1,0.33,0,-0.030004501,-0.150112613,0.339423307,-0.100050033,0.329456695,75.9359121
2003-11-03,0.38,-0.21,0.35,-0.58,0.38,0,0.379279824,-0.210220809,0.349388925,-0.581688532,0.379279824,75.142771
2003-11-04,0.3,0.57,0.33,-0.16,-0.03,0,0.299550898,0.568381647,0.329456695,-0.160128137,-0.030004501,74.9625206
2003-11-05,-0.45,0.21,-0.05,-0.17,0.06,0,-0.451015548,0.209779808,-0.050012504,-0.170144664,0.059982007,74.565655
2003-11-06,-0.04,-0.14,-0.03,-0.11,0.23,0,-0.040008002,-0.140098092,-0.030004501,-0.110060544,0.229735905,75.6773114
2003-11-10,-0.77,0.09,-0.13,0.63,-0.41,0,-0.772979806,0.089959524,-0.130084573,0.628023796,-0.410842804,76.149863
2003-11-11,-0.49,-0.65,-0.25,0.41,-0.27,0,-0.491204436,-0.652121699,-0.250313022,0.40916179,-0.270365157,76.7106473
2003-11-12,1.07,-0.02,-0.24,-0.35,0.32,0,1.06431601,-0.020002,-0.240288462,-0.350613933,0.31948909,77.0534813
2003-11-13,0.65,0.19,-0.26,0.27,-0.11,0,0.64789661,0.189819728,-0.260338587,0.269636155,-0.110060544,76.7754316
2003-11-17,-1.48,-0.57,-0.38,0.35,-0.69,0,-1.491061274,-0.5716307,-0.380723834,0.349388925,-0.692391507,76.9289911
2003-11-18,0.25,0.17,0.08,0.19,0.07,0,0.24968802,0.169855664,0.079968017,0.189819728,0.069975511,76.7400801
2003-11-19,-0.4,-0.26,0.02,-0.15,-0.14,0,-0.40080214,-0.260338587,0.019998,-0.150112613,-0.140098092,76.7341912
2003-11-20,-0.13,0.17,-0.02,0.08,0.14,0,-0.130084573,0.169855664,-0.020002,0.079968017,0.139902091,76.7813265
2003-11-24,0.89,-0.41,0.03,-0.57,0.22,0,0.886062843,-0.410842804,0.029995501,-0.5716307,0.219758354,76.2951076
2003-11-25,0.44,0.39,0.43,-0.23,0.29,0,0.43903483,0.389241472,0.429078142,-0.230264906,0.289580311,76.6988814
2003-11-26,0.79,0.21,0,-0.18,0.09,0,0.786895838,0.209779808,0,-0.180162195,0.089959524,76.511091
2003-11-27,0.06,-0.01,0.09,-0.13,0,0,0.059982007,-0.0100005,0.089959524,-0.130084573,0,76.8994153
2003-12-01,1.22,-0.34,0.12,-0.29,0.22,0,1.21261798,-0.340579313,0.119928058,-0.290421315,0.219758354,77.1247864
2003-12-02,0.2,0.27,0.31,-0.13,0.09,0,0.199800266,0.269636155,0.309520491,-0.130084573,0.089959524,76.9171596
2003-12-03,0.03,-0.36,-0.01,0.37,0.18,0,0.029995501,-0.360649559,-0.0100005,0.369317184,0.179838194,76.2543797
2003-12-04,0.1,-0.29,0.1,0.06,-0.05,0,0.099950033,-0.290421315,0.099950033,0.059982007,-0.050012504,76.751864
2003-12-08,0.09,-0.1,0.03,0.13,-0.2,0,0.089959524,-0.100050033,0.029995501,0.129915573,-0.200200267,76.5286624
2003-12-09,-0.16,-0.19,0.08,0.44,-0.14,0,-0.160128137,-0.190180729,0.079968017,0.43903483,-0.140098092,76.3766944
2003-12-10,-0.8,-0.44,-0.06,0.21,-0.19,0,-0.80321717,-0.440970849,-0.060018007,0.209779808,-0.190180729,75.9705186
2003-12-11,0.97,-0.01,0.23,-0.61,0.31,0,0.965325703,-0.0100005,0.229735905,-0.611868101,0.309520491,76.1324704
2003-12-15,0.13,-0.26,-0.13,0.42,0.02,0,0.129915573,-0.260338587,-0.130084573,0.419120462,0.019998,75.3977239
