Unnamed: 0,Mkt-RF,SMB,HML,RMW,CMA,RF,Mkt-RF_log_EUR,SMB_log_EUR,HML_log_EUR,RMW_log_EUR,CMA_log_EUR,EURUSD=X
2003-12-02,0.59,0.3,0.36,-0.39,0.16,0,0.588266316,0.299550898,0.359353551,-0.390762483,0.159872136,0.2808605
2003-12-03,0.69,-0.32,0.01,-0.14,0.24,0,0.687630394,-0.320513095,0.0099995,-0.140098092,0.23971246,-0.3473259
2003-12-04,-0.37,0.14,0.27,-0.09,0.06,0,-0.370686193,0.139902091,0.269636155,-0.090040524,0.059982007,0.8736248
2003-12-08,0.02,0.11,-0.14,0.13,-0.11,0,0.019998,0.109939544,-0.140098092,0.129915573,-0.110060544,0.5156225
2003-12-09,0.86,-0.23,-0.17,0.24,-0.09,0,0.856323066,-0.230264906,-0.170144664,0.23971246,-0.090040524,-0.4827027
2003-12-10,-0.96,0.23,-0.18,0.34,-0.32,0,-0.964637705,0.229735905,-0.180162195,0.339423307,-0.320513095,0.2710054
2003-12-11,0.42,-0.55,0.09,-0.17,0.26,0,0.419120462,-0.551518069,0.089959524,-0.170144664,0.259662585,0.4483962
2003-12-15,0.55,-0.01,-0.14,0.23,0.16,0,0.548493023,-0.0100005,-0.140098092,0.229735905,0.159872136,0.3493383
2003-12-16,-0.26,-0.2,-0.33,0.45,-0.12,0,-0.260338587,-0.200200267,-0.330545701,0.448990527,-0.120072058,0.647766
2003-12-17,0.54,-0.03,-0.12,0.26,-0.43,0,0.538547228,-0.030004501,-0.120072058,0.259662585,-0.430927159,0.168809
2003-12-18,0.96,-0.59,0.05,-0.25,-0.07,0,0.95542128,-0.591747376,0.049987504,-0.250313022,-0.070024511,-0.3063853
2003-12-22,-0.13,-0.06,0.04,0.2,-0.18,0,-0.130084573,-0.060018007,0.039992002,0.199800266,-0.180162195,0.1214555
2003-12-23,0.35,-0.17,0.1,-0.05,0.15,0,0.349388925,-0.170144664,0.099950033,-0.050012504,0.149887612,0.4262241
2003-12-24,0.62,-0.04,-0.06,-0.06,-0.01,0,0.618085908,-0.040008002,-0.060018007,-0.060018007,-0.0100005,-0.0398401
2003-12-25,-0.02,0,0.01,0,0.02,0,-0.020002,0,0.0099995,0,0.019998,-0.1293768
2003-12-29,0.87,-0.11,0.1,0.03,0.03,0,0.866237308,-0.110060544,0.099950033,0.029995501,0.029995501,0.9367643
2003-12-30,0.66,0.31,0.1,-0.23,0.01,0,0.657831536,0.309520491,0.099950033,-0.230264906,0.0099995,0.3268104
2003-12-31,0.57,-0.02,-0.03,0.06,0.14,0,0.568381647,-0.020002,-0.030004501,0.059982007,0.139902091,-0.064189
2004-01-01,-0.32,-0.01,-0.01,0.01,-0.04,0,-0.320513095,-0.0100005,-0.0100005,0.0099995,-0.040008002,0
2004-01-05,1.11,0.19,0.4,-0.27,0.47,0,1.103884712,0.189819728,0.399202127,-0.270365157,0.468898949,1.099397
2004-01-06,0.44,0.23,0.09,-0.17,-0.04,0,0.43903483,0.229735905,0.089959524,-0.170144664,-0.040008002,-0.6315083
2004-01-07,-0.98,0.59,0.32,-0.07,0.06,0,-0.984833605,0.588266316,0.31948909,-0.070024511,0.059982007,1.0547354
2004-01-08,1.8,-0.07,0.15,-0.37,1.02,0,1.783991813,-0.070024511,0.149887612,-0.370686193,1.014833105,0.6549444
