Unnamed: 0,Mkt-RF,SMB,HML,RMW,CMA,RF,Mkt-RF_log,SMB_log,HML_log,RMW_log,CMA_log,JPYUSD=X
2000-01-03,1.03,0,0,0,0,0.02,1.024731645,0,0,0,0,0.969555974
2000-01-04,-1.76,0.19,0.28,-0.23,-0.02,0.02,-1.775672159,0.189819728,0.27960873,-0.230264906,-0.020002,0.960707106
2000-01-05,-4.76,2.01,3.12,-1.7,3.13,0.02,-4.877016437,1.990066171,3.072317264,-1.714615883,3.082014234,0.950299297
2000-01-06,-3.51,0.77,2.11,-2.23,2.02,0.02,-3.573080996,0.76705063,2.088047758,-2.255240447,1.999868651,0.949397124
2000-01-10,0.16,0,0,0,0,0.02,0.159872136,0,0,0,0,0.943218265
2000-01-11,4.13,-2,-2.5,2.77,-3.23,0.02,4.046993255,-2.020270732,-2.531780798,2.732329565,-3.28331571,0.945984293
2000-01-12,-1.04,0.55,-0.58,0.07,0.31,0.02,-1.04544579,0.548493023,-0.581688532,0.069975511,0.309520491,0.943218265
2000-01-13,-0.37,0.29,1.88,-1.1,1.54,0.02,-0.370686193,0.289580311,1.862546412,-1.106094736,1.528262353,0.944465492
2000-01-17,2.92,0.25,0.05,-0.27,-0.44,0.02,2.878180143,0.24968802,0.049987504,-0.270365157,-0.440970849,0.946431886
2000-01-18,-1.66,1.25,0.82,-1,0.14,0.02,-1.6739324,1.242252,0.816656267,-1.005033585,0.139902091,0.950028468
2000-01-19,-1.8,0.87,1.45,-0.52,1.68,0.02,-1.816397063,0.866237308,1.439588028,-0.521356705,1.666044089,0.949577428
2000-01-20,-0.26,0.49,0.6,0.64,0.6,0.02,-0.260338587,0.488803407,0.598207168,0.637960696,0.598207168,0.954927411
2000-01-24,0.51,-0.4,-1.29,0.78,-0.93,0.02,0.508703905,-0.40080214,-1.298392756,0.776973726,-0.9343515,0.944554619
2000-01-25,-1.17,0.59,-0.69,0.19,-0.11,0.02,-1.17689836,0.588266316,-0.692391507,0.189819728,-0.110060544,0.947149098
