Date,Mkt-RF_simple,SMB_simple,HML_simple,RMW_simple,CMA_simple,VIX_value,RF,Mkt-RF_log,SMB_log,HML_log,RMW_log,CMA_log,VIX
1999-01-04,-0.19,0.15,0.45,-0.37,-0.44,26.17,0.019,-0.190180729,0.149887612,0.448990527,-0.370686193,-0.440970849,0
1999-01-05,1.1,-0.9,0.12,-0.3,-0.38,24.46,0.019,1.093994004,-0.904074465,0.119928058,-0.300450902,-0.380723834,-0.067574586
1999-01-06,2.1,-0.74,-0.4,-0.46,-1.13,23.34,0.019,2.078253918,-0.742751583,-0.40080214,-0.461061256,-1.136433008,-0.046870503
1999-01-07,-0.07,0.36,-0.22,-0.66,-0.9,24.37,0.019,-0.070024511,0.359353551,-0.220242356,-0.662187631,-0.904074465,0.043184241
1999-01-08,0.45,0.16,0.38,-0.8,-0.4,23.28,0.019,0.448990527,0.159872136,0.379279824,-0.80321717,-0.40080214,-0.045758245
1999-01-11,-0.52,0.97,-0.08,-1.61,-0.84,25.46,0.019,-0.521356705,0.965325703,-0.080032017,-1.623101311,-0.843547882,0.08951397
1999-01-12,-1.85,0.8,0.09,0.44,0.77,28.1,0.019,-1.867326527,0.796816965,0.089959524,0.43903483,0.76705063,0.098660983
1999-01-13,-0.54,-0.09,-0.22,0.73,0.34,30.11,0.019,-0.54146327,-0.090040524,-0.220242356,0.727348397,0.339423307,0.069087766
1999-01-14,-1.66,1.06,-0.01,-0.23,-0.04,32.98,0.019,-1.6739324,1.054421388,-0.0100005,-0.230264906,-0.040008002,0.091043975
1999-01-15,2.28,-0.82,-0.41,-0.04,-0.78,29.24,0.019,2.254396443,-0.823380493,-0.410842804,-0.040008002,-0.783057912,-0.120363682
1999-01-19,0.8,-0.02,-0.66,-0.1,-1.26,29.24,0.019,0.796816965,-0.020002,-0.662187631,-0.100050033,-1.268005316,0
1999-01-20,0.24,0.15,-0.67,0.81,-0.54,28.6,0.019,0.23971246,0.149887612,-0.672254576,0.806737108,-0.54146327,-0.022130917
1999-01-21,-1.82,0.52,0.73,0.49,0.67,30.92,0.019,-1.836765736,0.518652669,0.727348397,0.488803407,0.667765475,0.077996506
1999-01-22,-0.66,0.32,0.15,-0.55,0.07,31.95,0.019,-0.662187631,0.31948909,0.149887612,-0.551518069,0.069975511,0.032768957
1999-01-25,0.67,-0.84,-0.24,-0.33,0.03,31.13,0.019,0.667765475,-0.843547882,-0.240288462,-0.330545701,0.029995501,-0.026000196
