date,rf_rate_cad
2003-09-16,5.47E-05
2003-09-17,5.45E-05
2003-09-18,5.39E-05
2003-09-19,5.39E-05
2003-09-22,5.42E-05
2003-09-23,5.40E-05
2003-09-24,5.40E-05
2003-09-25,5.41E-05
2003-09-26,5.41E-05
2003-09-29,5.40E-05
2003-09-30,5.38E-05
2003-10-01,4.02E-05
2003-10-02,4.03E-05
2003-10-03,4.03E-05
2003-10-06,3.99E-05
2003-10-07,4.00E-05
2003-10-08,4.01E-05
2003-10-09,3.97E-05
2003-10-10,3.97E-05
2003-10-13,3.97E-05
2003-10-14,3.98E-05
2003-10-15,3.96E-05
2003-10-16,3.94E-05
2003-10-17,3.94E-05
2003-10-20,3.95E-05
2003-10-21,3.91E-05
2003-10-22,3.92E-05
2003-10-23,3.92E-05
2003-10-24,3.92E-05
2003-10-27,3.93E-05
2003-10-28,3.94E-05
2003-10-29,3.94E-05
2003-10-30,3.95E-05
2003-10-31,3.95E-05
2003-11-03,5.32E-05
2003-11-04,5.34E-05
2003-11-05,5.36E-05
2003-11-06,5.29E-05
2003-11-07,5.29E-05
2003-11-10,5.25E-05
2003-11-11,5.21E-05
2003-11-12,5.19E-05
2003-11-13,5.21E-05
2003-11-14,5.21E-05
2003-11-17,5.20E-05
2003-11-18,5.21E-05
2003-11-19,5.21E-05
2003-11-20,5.21E-05
2003-11-21,5.21E-05
2003-11-24,5.24E-05
2003-11-25,5.22E-05
2003-11-26,5.23E-05
2003-11-28,5.20E-05
2003-12-01,5.19E-05
2003-12-02,5.20E-05
2003-12-03,5.25E-05
2003-12-04,5.21E-05
2003-12-05,5.21E-05
2003-12-08,5.23E-05
2003-12-09,5.24E-05
2003-12-10,5.27E-05
2003-12-11,5.25E-05
2003-12-12,5.25E-05
2003-12-15,5.31E-05
2003-12-16,5.31E-05
2003-12-17,5.33E-05
2003-12-18,5.35E-05
2003-12-19,5.35E-05
2003-12-22,5.28E-05
2003-12-23,5.23E-05
2003-12-24,5.24E-05
2003-12-26,5.24E-05
2003-12-29,5.18E-05
2003-12-30,5.19E-05
2003-12-31,5.18E-05
2004-01-02,3.88E-05
2004-01-05,3.86E-05
2004-01-06,3.87E-05
2004-01-07,3.84E-05
2004-01-08,3.82E-05
2004-01-09,3.82E-05
2004-01-12,3.81E-05
2004-01-13,3.87E-05
2004-01-14,3.89E-05
2004-01-15,3.90E-05
2004-01-16,3.90E-05
2004-01-20,3.90E-05
2004-01-21,3.88E-05
2004-01-22,3.94E-05
2004-01-23,3.94E-05
2004-01-26,3.92E-05
2004-01-27,3.98E-05
2004-01-28,3.99E-05
2004-01-29,3.97E-05
2004-01-30,3.97E-05
2004-02-02,4.01E-05
2004-02-03,4.00E-05
2004-02-04,4.01E-05
2004-02-05,3.96E-05
2004-02-06,3.96E-05
2004-02-09,3.99E-05
2004-02-10,3.94E-05
2004-02-11,3.96E-05
2004-02-12,3.96E-05
2004-02-13,3.96E-05
2004-02-17,3.97E-05
2004-02-18,3.98E-05
2004-02-19,4.01E-05
2004-02-20,4.01E-05
2004-02-23,3.99E-05
2004-02-24,4.01E-05
2004-02-25,4.03E-05
2004-02-26,4.00E-05
2004-02-27,4.00E-05
2004-03-01,5.37E-05
2004-03-02,5.36E-05
2004-03-03,5.33E-05
2004-03-04,5.29E-05
2004-03-05,5.29E-05
2004-03-08,5.30E-05
2004-03-09,5.30E-05
2004-03-10,5.27E-05
2004-03-11,5.33E-05
2004-03-12,5.33E-05
2004-03-15,5.33E-05
2004-03-16,5.36E-05
2004-03-17,5.31E-05
