,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
MRD.TO,186.91376156657986,414.0787507651101,651.2788193654911,438.73462059895826,342.6707447194413,135.22952249762756,-321.50280150042056,-553.5931708911054,-1057.2604605013469,-1262.1204190119315,-1167.5947109345334,-1640.2512400551761,-1261.9731454811858,-796.4774594184298,-1022.1884403334324,-1244.4102490476494,-1562.1237308469285,-1169.3444940365184,-1116.5218082298477,-845.1627334953234,-535.8359286554056,-713.4080179029619,-654.8904098110468,-663.4400467180329
CIM.AX,-278.61700482344986,-605.5688710015615,-879.4712767435708,-257.0724640295355,-745.2992380761219,-409.53467275731583,277.4948247576679,529.9467051210607,1491.9386936188619,1869.8092643515986,1777.6680071458395,2493.2312966465693,2108.5650155896274,1460.33207740425,1848.5483347501645,2085.910698097287,2591.2733548371407,2080.386858051052,1903.3360415385998,1345.2998420941155,671.8371379039143,780.9548196212631,827.5184815846557,634.184417490625
GAPSX,1475.4879739542473,3172.777055288668,4294.0831674329565,-487.6630399283153,4772.082123133572,2808.9620351788285,-933.9435042838873,-1857.25619142454,-7810.90044608483,-9981.510670807076,-9719.190946979461,-13261.673073872691,-12096.288436124581,-9172.508429408925,-11269.101240844851,-12056.106740864438,-14584.76469334309,-12471.428950796202,-11270.924553354955,-8016.796442680743,-3850.211594221222,-3759.38299023234,-4561.663895309806,-2721.261772486678
LNC,-671.6997903174621,-1469.6060681903136,-2094.3685776875645,-197.14155416084833,-1910.391687318837,-1019.5716019774762,703.6107246419763,1218.1213111327274,3595.573813127246,4426.209591683464,4276.392096042804,5711.172100507425,5110.109280014763,3902.528328885245,4723.802823431902,5123.727907644238,6106.392854427094,5229.053993558096,4832.190667702919,3654.9827820693354,2128.9253952250233,2249.7447369979627,2452.8590968071244,1880.825104386789
KNEBV.HE,-45.952770941489426,-126.21076791010212,-340.0386317857842,-853.9244683431201,335.41767491729547,343.60668917777963,457.39846432872145,704.7852638354034,398.84005326433254,288.7934838525753,169.11443247343414,231.59032802708606,-209.12288006913937,-374.2289948730832,-438.81486401687215,-214.37492276641711,-231.440235599039,-438.6774604192157,-245.77175763366412,25.48338645893804,398.7938050816111,756.9635975698579,464.634966848535,889.2004466463572
HBD.TO,279.9133067122602,660.7906337242207,1274.7101395288446,1904.851515134041,-292.82074876889317,-530.5731826183081,-1203.9675676890722,-1834.243800857842,-1918.2762129779928,-1974.4496742765316,-1689.464387557028,-2303.5352091961236,-1222.8900889807412,-444.20297872311914,-590.8203304734999,-1204.666612790579,-1530.3926341176857,-766.8421642910821,-1020.4301166129882,-1151.7657270069003,-1397.3662020426007,-2138.001795518203,-1643.2259530731185,-2296.5533845112122
HGU.TO,406.43185064097503,892.46809499095,1334.9577958487196,540.8694451178691,982.3497380315753,495.18503123546793,-513.5375254458047,-918.0645006620987,-2202.46599263576,-2697.94331812496,-2551.445798813139,-3534.365667842309,-2944.7485734093957,-2039.6998199443267,-2560.313170815894,-2925.9425117450355,-3604.5764802198555,-2887.2687708235126,-2684.2769547853245,-1978.87379642178,-1126.2748279007858,-1347.5156793537947,-1356.7266714141315,-1170.3376641259842
OIH,-851.5243270367887,-1865.2359173398609,-2677.979246597228,-364.95132118232476,-2379.681699350592,-1262.121741916653,915.7863139349408,1592.1217586039083,4554.507077898593,5599.160256674148,5397.233910848253,7231.576255758868,6425.013556667674,4864.278555808459,5906.364774871512,6439.478647254788,7696.0800083465565,6551.540137205788,6060.163868153466,4578.852329129214,2671.567928558103,2862.3896159881083,3089.325825650271,2408.0728426787828
RIT.TO,400.2655328004218,834.735545303006,1017.9723036630157,-604.8451271247833,1661.6863180260316,1130.2184948878037,149.13242259005443,21.315079385012588,-1928.881773167415,-2696.110735764689,-2677.175243315154,-3822.634169958155,-3664.072390241879,-2749.6321514678184,-3480.582403969906,-3615.457063646159,-4499.88915344847,-3859.269401769257,-3326.99684120132,-2055.606335425032,-481.93422565981416,-246.1036680934473,-659.0317524873531,156.488159341991
EMB,516.3768823350097,1141.949284863575,1786.6077738377564,1166.6154805815843,974.8971178546207,400.0097519633706,-861.3009537984082,-1492.7294033062476,-2912.764110227588,-3490.756729426156,-3233.492881711875,-4549.601633627525,-3515.94458943003,-2225.5169817013243,-2858.3487935455946,-3464.95072460114,-4353.192499940678,-3266.712470884654,-3107.8873825537553,-2334.6667713458037,-1450.601588428321,-1924.5375314342668,-1777.833231817316,-1777.446210548319
DJI_365_17000_P,0.16008753723745636,0.34719285251867554,0.4753455951466438,-0.053224165996626424,0.4938736013035289,0.2738178601822632,-0.13989166628714067,-0.24138441410585976,-0.862866640505423,-1.0755910243832743,-1.0489884681145902,-1.3919356762986794,-1.2795164738149682,-1.00298189803195,-1.205561473705067,-1.2826290248010594,-1.5196576287337877,-1.3252944605598154,-1.2154240898977278,-0.9110783581673059,-0.5087895851554572,-0.5042329200301208,-0.5819193601521957,-0.4018497129465015
