,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
MRD.TO,551.8336558544624,1288.6652011672672,2189.6500743211277,1366.423747194101,1313.9258870998008,1332.572333747843,1253.250279988101,-38.49318055490755,-1556.6542570654206,-3670.484315857483,-3966.211884160865,-4080.0994438503662,-3940.934923713727,-3194.176363505954,-3310.750259757795,-3018.4941237572093,-2599.209216453955,-2115.903277963911,-1717.473991400349,-1802.152960013727,-1093.2145103237356,-1027.5799472173615,-735.0844187036413,-879.5792401820091
CIM.AX,-898.3184201725261,-1425.1059801861927,-2131.198640727986,-356.12814144071905,-164.28585011614825,-277.8824674846725,1922.1667349793365,5787.054759900461,7721.960528888037,8488.598970187742,9204.089180526924,10050.965401962656,9331.931358316124,7926.8575833514615,7140.019748780526,6934.636194770587,6162.638937187681,4840.794964976067,4180.194689053851,3939.2046316219307,2713.24879029665,3068.7569232231504,2500.3479028033435,3978.6881623649356
GAPSX,2484.74338491336,3667.8031651715637,2277.72198047461,-3946.279729757654,-3760.525065906626,-2174.3526214352396,-9184.968135652898,-22996.895540530262,-26507.233953348317,-24632.18348058576,-26143.997632180915,-29259.79440158814,-27327.46871621786,-25066.272574389775,-21851.461453997992,-21175.102047713368,-19953.00346302007,-16463.623770552214,-14210.792337687617,-12689.374031303238,-12052.537601383023,-12231.145404945551,-9572.059113274325,-13922.332370111726
LNC,-1033.56738780897,-1627.1402910831948,-792.9788768016062,1367.0100805037732,1266.335686181689,473.1981040842203,2632.9865136428452,7420.102791227308,8621.427968693968,8001.295724777532,8371.651100755575,9292.040300175153,8746.858246569825,8180.431161472685,7169.783025954558,6882.910411992118,6496.2440277310925,5438.993672040963,4640.872375619593,4095.928544851258,4040.6915575841563,4080.6008021621865,2963.1978481439983,4552.97062611561
KNEBV.HE,344.65699616698424,-34.0273308151998,289.0875633018428,-1282.2075732451028,-1493.5789636653392,-1707.2035676314508,-4859.052718131414,-8259.972207912053,-9021.55303782467,-8363.54553921165,-9089.57247539342,-10050.075575836052,-9327.466772608217,-8200.845784965572,-7216.089317591427,-7313.437551772882,-6803.469491636083,-5571.9327480743095,-5200.3309802805525,-4866.732022766201,-3924.4761566716124,-4392.784546144164,-4291.864130166011,-5733.4334250298725
HBD.TO,-1407.298643490614,-1809.6270312337492,-5742.521793155075,-1638.7054610268058,-858.6145524983588,588.249542377605,8562.003301152652,21881.39763001044,30659.611514919758,36764.46098863292,43909.287897233415,51829.627965813175,43983.44722553824,29462.78467596429,24840.15720281406,24807.709833919373,20368.586215423864,12710.259872935472,10640.636614543679,10182.309166567413,3648.2870176772376,4989.395566184986,5229.44375503756,9214.495424097819
HGU.TO,668.4836547208591,4568.430230560632,9790.523636539065,7971.188676683336,8858.96468086411,8223.121205298248,16827.728133075754,20995.14451571959,15593.834148053753,-4936.712292799379,-4555.444114519834,-2853.764377188486,-4742.38360786045,-5220.435574700007,-8476.45543673099,-7383.75989012075,-7736.261979314821,-8624.830063569907,-8014.28921882642,-8991.623251982925,-9146.63055129498,-7344.776533589805,-7351.441536737641,-3407.665380688151
OIH,-1313.2705415731057,-2757.487353169124,-2694.2588068012537,181.21381311882612,-70.3475365344808,-968.9176719462768,332.3987973588628,6075.363241174734,8200.066755776508,8953.138059099794,9350.807236711265,10264.801023024476,9795.389535675919,9152.564396029027,8370.01777492082,7810.1225015582395,7401.97403089648,6297.563813589618,5213.973619429371,4778.176596242606,4761.44282197332,4376.486213809721,3027.2328840020095,3990.8455499493407
RIT.TO,1256.5811905142416,3022.7525699549037,5659.858151933265,2050.511669684889,2100.1860235934882,1837.3473804917041,-188.40572465341992,-6873.070514052728,-10913.243523381845,-15505.457608948876,-17055.40422699006,-18723.110860182238,-17592.695296519392,-14827.513935299836,-14177.347432077524,-13415.767398526661,-12362.15478443819,-10071.917124313864,-8580.657203429097,-8497.34040253633,-6821.123169314684,-6244.456731636429,-5578.525231085859,-5899.961894726738
EMB,1568.2539052970485,3019.521516087713,4719.782850987646,2415.0698156889935,2137.335349315992,2336.8771642220245,592.8966948666877,-4088.5679432726615,-8007.141434471627,-11671.11089446529,-12694.174963979029,-13533.316121402595,-12664.274148457724,-10255.781835447817,-9726.84293412561,-9121.0635251625,-7741.027428313243,-5933.456743892526,-4832.400991786409,-4759.707955583085,-2589.8704693204286,-2932.2538773106467,-1969.0919260463804,-3603.891922993194
DJI_365_17000_P,0.29298957352244404,0.45071701057108476,0.3624293632565512,-0.38088214759878103,-0.3707647950583747,-0.21654165307504697,-0.9951790189823203,-2.389335371559603,-2.695230179083993,-2.6081000934990866,-2.727855072828526,-2.9468330229841895,-2.8145601609396738,-2.636402798273891,-2.4105680131253564,-2.3571519390677755,-2.250069738884437,-1.9648941815397365,-1.7757851725515326,-1.6545447857823874,-1.558760647588526,-1.5812401687360311,-1.3542035705304052,-1.7514191873352551
